sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/y-1","Yak AI","http://yakai.co"
"https://theorg.com/companies/y-1","Yakima Herald-Republic","https://www.yakimaherald.com"
"https://theorg.com/companies/y-1","Yale Cancer Center","https://www.yalecancercenter.org/"
"https://theorg.com/companies/y-1","YAKIMA BAIT CO.","https://www.yakimabait.com/"
"https://theorg.com/companies/y-1","Yakult Honsha Co Ltd","https://www.yakult.co.jp/"
"https://theorg.com/companies/y-1","Yakshna Solutions","http://www.yakshna.com/"
"https://theorg.com/companies/y-1","Yale Broadcasting Company (WYBC)","https://wybcx.com"
"https://theorg.com/companies/y-1","Yaksha Assessment Platform","https://yaksha.com/"
"https://theorg.com/companies/y-1","Yakult Europe B.V.","https://yakulteurope.com/"
"https://theorg.com/companies/y-1","Yakult UK and Ireland","https://www.yakult.co.uk/"
"https://theorg.com/companies/y-1","Yakoa","https://www.yakoa.io/"
"https://theorg.com/companies/y-1","Yak Dev","https://yak-dev.com"
"https://theorg.com/companies/y-1","Yakta","https://yaktaoutdoor.com/li/bio"
"https://theorg.com/companies/y-1","Yakar Partners","https://www.yakarpartners.com/"
"https://theorg.com/companies/y-1","YAKIMA NEIGHBORHOOD HEALTH SERVICES","https://www.ynhs.org/"
"https://theorg.com/companies/y-1","Yalber","http://www.yalber.com/"
"https://theorg.com/companies/y-1","YAK MAT","https://www.yakmat.com"
"https://theorg.com/companies/y-1","Yakkyofy","https://yakkyofy.com/"
"https://theorg.com/companies/y-1","Yakkasavvy","https://yakkasavvy.com"
"https://theorg.com/companies/y-1","Yakima Chief Hops","https://www.yakimachief.com"
"https://theorg.com/companies/y-1","YALA Dates (YALJ Group Company)","https://www.yaladates.com"
"https://theorg.com/companies/y-1","Yakama Nation Fisheries","https://yakamafish-nsn.gov"
"https://theorg.com/companies/y-1","Yakima Products","https://yakima.com"
"https://theorg.com/companies/y-1","Yakushi Knives","https://yakushiknives.com/"
"https://theorg.com/companies/y-1","Yakkertech","https://www.yakkertech.com/"
"https://theorg.com/companies/y-1","Yalantis","http://yalantis.com"
"https://theorg.com/companies/y-1","Yakima Fruit & Cold Storage","https://www.yakfruit.com"
"https://theorg.com/companies/y-1","Yalamanchili - Payments and Cards","https://www.yalamanchili.com.sg/"
"https://theorg.com/companies/y-1","Yakupoğlu Deri Sanayi (YDS)","http://ydsboots.com"
"https://theorg.com/companies/y-1","YAKOO Technology Limited","https://www.yakoo.com.hk"
"https://theorg.com/companies/y-1","Yale Biotech Club","https://www.yalebiotechclub.org"
"https://theorg.com/companies/y-1","Yakima Schools Foundation","https://www.yakimaschoolsfoundation.org/"
"https://theorg.com/companies/y-1","Yakima Union Gospel Mission","https://yugm.org/"
"https://theorg.com/companies/y-1","Yakit","https://www.yakit.com/"
"https://theorg.com/companies/y-1","Yale and August U.S.","https://shopyalehome.com/pages/smart-lock-solutions"
"https://theorg.com/companies/y-1","Yakima Valley Farm Workers Clinic","https://www.yvfwc.com/"
